Area,Name,Borough
1,Etobicoke North,Etobicoke
2,Etobicoke Centre,Etobicoke
3,Etobicoke-Lakeshore,Etobicoke
4,Parkdale-High Park,Old Toronto
5,York South-Weston,York
6,York Centre,North York
7,Humber River-Black Creek,North York
8,Eglinton-Lawrence,North York
9,Davenport,Old Toronto
10,Spadina-Fort York,Old Toronto
11,University-Rosedale,Old Toronto
12,Toronto-St. Paul's,Old Toronto
13,Toronto Centre,Old Toronto
14,Toronto-Danforth,Old Toronto
15,Don Valley West,North York
16,Don Valley East,North York
17,Don Valley North,North York
18,Willowdale,North York
19,Beaches-East York,Old Toronto
20,Scarborough Southwest,Scarborough
21,Scarborough Centre,Scarborough
22,Scarborough-Agincourt,Scarborough
23,Scarborough North,Scarborough
24,Scarborough-Guildwood,Scarborough
25,Scarborough-Rouge Park,Scarborough
